,podcast,episode_num,date_published,year_published,views,likes,comments,video_title
339,Your Mom's House,330.0,2016-02-10,2016,156111,2215,452,Your Mom's House Podcast - Episode 330 -
338,Your Mom's House,331.0,2016-02-17,2016,121808,1701,238,Your Mom's House Podcast - Episode 331
337,Your Mom's House,332.0,2016-02-24,2016,158042,1734,228,Your Mom's House Podcast - Ep. 332
336,Your Mom's House,333.0,2016-03-02,2016,232430,3454,429,Your Mom's House Podcast - Ep. 333
335,Your Mom's House,334.0,2016-03-10,2016,139801,1935,220,Your Mom's House Podcast - Ep. 334
334,Your Mom's House,335.0,2016-03-16,2016,118120,1395,172,Your Mom's House Podcast - Ep. 335
333,Your Mom's House,336.0,2016-03-23,2016,121937,1548,184,Your Mom's House Podcast - Ep. 336
332,Your Mom's House,337.0,2016-03-30,2016,112436,1357,188,Your Mom's House Podcast - Ep. 337
331,Your Mom's House,338.0,2016-04-06,2016,137382,1848,261,Your Mom's House Podcast - Ep. 338
330,Your Mom's House,339.0,2016-04-13,2016,155240,1934,269,Your Mom's House Podcast - Ep. 339
329,Your Mom's House,340.0,2016-04-20,2016,119808,1657,225,Your Mom's House Podcast - Ep. 340
328,Your Mom's House,341.0,2016-04-27,2016,151089,2094,303,Your Mom's House Podcast - Ep. 341
327,Your Mom's House,342.0,2016-05-04,2016,146582,1748,292,Your Mom's House Podcast - Ep. 342
326,Your Mom's House,343.0,2016-05-11,2016,114238,1430,194,Your Mom's House Podcast - Ep. 343
325,Your Mom's House,344.0,2016-05-18,2016,135576,1575,254,Your Mom's House Podcast - Ep. 344
22,Your Mom's House,1.0,2016-05-19,2016,83800,1537,275,Classic Jeans - 001
324,Your Mom's House,345.0,2016-05-25,2016,49075,654,150,Your Mom's House Podcast - Ep. 345
21,Your Mom's House,2.0,2016-05-26,2016,37336,586,91,Classic Jeans - 002
323,Your Mom's House,346.0,2016-06-01,2016,122970,1704,241,Your Mom's House Podcast - Ep. 346
20,Your Mom's House,3.0,2016-06-02,2016,19514,341,59,Classic Jeans 003
322,Your Mom's House,347.0,2016-06-08,2016,127328,1691,255,Your Mom's House Podcast - Ep. 347
19,Your Mom's House,4.0,2016-06-09,2016,22216,330,30,Classic Jeans - 004
321,Your Mom's House,348.0,2016-06-15,2016,126515,1432,209,Your Mom's House Podcast - Ep. 348
18,Your Mom's House,5.0,2016-06-16,2016,17356,267,20,Classic Jeans - 005
320,Your Mom's House,349.0,2016-06-22,2016,111777,1419,211,Your Mom's House Podcast - Ep. 349
17,Your Mom's House,6.0,2016-06-23,2016,10790,207,16,Classic Jeans - Ep. 006
319,Your Mom's House,350.0,2016-06-29,2016,147517,2160,286,Your Mom's House Podcast - Ep. 350
16,Your Mom's House,7.0,2016-06-30,2016,16596,243,53,Classic Jeans - Ep. 007
318,Your Mom's House,351.0,2016-07-06,2016,123353,1471,213,Your Mom's House Podcast - Ep. 351
15,Your Mom's House,8.0,2016-07-07,2016,11453,165,27,Classic Jeans - Ep. 008
317,Your Mom's House,352.0,2016-07-13,2016,157834,1721,272,Your Mom's House Podcast - Ep. 352
14,Your Mom's House,9.0,2016-07-14,2016,11246,166,25,Classic Jeans - Ep. 009
316,Your Mom's House,353.0,2016-07-20,2016,112907,1367,256,Your Mom's House Podcast - Ep. 353
13,Your Mom's House,10.0,2016-07-21,2016,11670,169,16,Classic Jeans - Ep. 010
315,Your Mom's House,354.0,2016-07-27,2016,110358,1343,224,Your Mom's House Podcast - Ep. 354
12,Your Mom's House,11.0,2016-07-28,2016,9206,146,15,Classic Jeans - Ep. 011
314,Your Mom's House,355.0,2016-08-03,2016,83480,1181,202,Your Mom's House Podcast - Ep. 355
11,Your Mom's House,12.0,2016-08-04,2016,15992,261,39,Classic Jeans - Ep. 012
313,Your Mom's House,356.0,2016-08-10,2016,140017,1625,310,Your Mom's House Podcast - Ep. 356
10,Your Mom's House,13.0,2016-08-11,2016,14990,213,16,Classic Jeans - Ep. 013
312,Your Mom's House,357.0,2016-08-17,2016,129203,1564,199,Your Mom's House Podcast - Ep. 357
9,Your Mom's House,14.0,2016-08-18,2016,12371,187,25,Classic Jeans - Ep. 014
311,Your Mom's House,358.0,2016-08-24,2016,137965,1680,264,Your Mom's House Podcast - Ep. 358
8,Your Mom's House,15.0,2016-08-25,2016,14469,197,32,Classic Jeans - Ep. 015
310,Your Mom's House,359.0,2016-08-31,2016,127352,1429,257,Your Mom's House Podcast - Ep. 359
7,Your Mom's House,16.0,2016-09-01,2016,11016,145,7,Classic Jeans - Ep. 016
309,Your Mom's House,360.0,2016-09-07,2016,125014,1572,200,Your Mom's House Podcast - Ep. 360
6,Your Mom's House,17.0,2016-09-08,2016,11373,151,17,Classic Jeans - Ep. 017
308,Your Mom's House,361.0,2016-09-14,2016,130067,1626,194,Your Mom's House Podcast - Ep. 361
5,Your Mom's House,18.0,2016-09-16,2016,17953,214,29,Classic Jeans - Ep. 018 w/ Kumail Nanjiani
